name,abbreviation,url,id,description,status,record_type,countries,year_created,funder,funder_type,maintaining_institution,maintaining_type,contact_name,contact_email,data_access_condition,data_deposition_condition,publications
Coronavirus and Psoriasis Reporting Registry,,https://school.wakehealth.edu/Departments/Dermatology/SECURE-Psoriasis,3288,"Surveillance Epidemiology of Coronavirus Under Research Exclusion (SECURE-Psoriasis) is an international, pediatric and adult registry to monitor and report on outcomes of COVID-19 occurring in psoriasis patients.",ready,repository,United States,2020,"National Psoriasis Foundation, Portland, OR, United States",Charitable foundation,"Wake Forest School of Medicine, Winston-Salem, NC, USA",University,General contact,COVID_PSO@wakehealth.edu,open,controlled,10.1080/09546634.2020.1753996
DDBJ Sequence Read Archive,DRA,https://www.ddbj.nig.ac.jp/dra/index-e.html,3013,"DDBJ Sequence Read Archive (DRA) is an archive database for output data generated by next-generation sequencing machines including Roche 454 GS System®, Illumina Genome Analyzer®, Applied Biosystems SOLiD® System, and others. DRA is a member of the International Nucleotide Sequence Database Collaboration (INSDC) and archiving the data in a close collaboration with NCBI Sequence Read Archive (SRA) and EBI Sequence Read Archive (ERA).",ready,knowledgebase_and_repository,Japan,,,,Bioinformation and DDBJ Center,Research institute,,,open,open,
DIGITAL.CSIC,,https://digital.csic.es/,3314,"DIGITAL.CSIC is the institutional repository of the Spanish National Research Council. The resource organizes, preserves and provides open access to a wide variety of types of CSIC research outputs, including peer reviewed publications, research data, patents, conference contributions and training resources. ",ready,knowledgebase,Spain,2008,,,Spanish National Research Council,Government body,Isabel Bernal,isabel.bernal@bib.csic.es,open,controlled,
DatabasE of StruCtuRe and functIon residue-Based prEdictions of PROTeins,DescribePROT,http://biomine.cs.vcu.edu/servers/DESCRIBEPROT/main.php,5107,"The DescribePROT database provides access to amino acid-level annotations of protein structure and function, which include 3 experimentally validated and 19 putative characteristics. It covers hundreds of complete proteomes of popular and model organisms. Users can search it in multiple ways, interact with the data using an interactive graphical interface, and download data at various scales including individual proteins, entire proteomes, and whole database. The annotations in DescribePROT are useful for a broad spectrum of studies that include investigations of protein structure and function, development and validation of predictive tools, and supporting efforts in understanding molecular underpinnings of diseases and development of therapeutics.",ready,knowledgebase,United States,2020,National Science Foundation; National Institutes of Health,Government body,Virginia Commonwealth University,University,Dr. Lukasz Kurgan,lkurgan@vcu.edu,open,not applicable,10.1093/nar/gkad985; 10.1093/nar/gkaa931
Database of Viral siRNA / shRNA,VIRsiRNAdb,http://crdd.osdd.net/servers/virsirnadb,1675,"Viral siRNA Database (VIRsiRNAdb) is a structured collection of  experimentally validated siRNAs reported in the scientific literature targeting diverse genes of important human viruses. The curation efforts to date has concentrated mainly on viruses known to be associated with infectious diseases  in humans. Currently the database provides experimental information of 1358 siRNAs, mined from relevant Pubmed artcles, which includes siRNA sequence, virus subtype, target gene,  GenBank accession, design algorithim,  cell type, and  efficacy.",ready,knowledgebase,India,2011,"Council of Scientific and Industrial Research (CSIR), New Delhi, India; Department of Biotechnology, Ministry of Science and Technology, India",Government body,"Institute of Microbial Technology (IMTECH), Council of Scientific & Industrial Research (CSIR), Chandigarh, India",Government body,Manoj Kumar,manojk@imtech.res.in,open,open,10.1093/nar/gkr1147
Database of publications on coronavirus disease (COVID-19),,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/global-research-on-novel-coronavirus-2019-ncov,2933,"The WHO is gathering the latest scientific findings and knowledge on coronavirus disease (COVID-19) and compiling it in a database. The database is updated daily from searches of bibliographic databases, manual searches of the table of contents of relevant journals, and the addition of other relevant scientific articles that come to our attention. Note - the entries in the database may not be exhaustive and new research will be added regularly.",ready,repository,Worldwide,2020,,,World Health Organization (WHO),Government body,,,open,not applicable,
DisGeNET,DisGeNET,http://www.disgenet.org,2146,"DisGeNET is a discovery platform containing one of the largest collections available of genes and variants involved in human diseases. DisGeNET integrates data from expert curated repositories, GWAS catalogues, animal models, and the scientific literature, and covers the whole landscape of human diseases. The current version of DisGeNET (v7.0) contains 1,134,942 gene-disease associations (GDAs), between 21,671 genes and 30,170 diseases, disorders, traits, and clinical or abnormal human phenotypes, and 369,554 variant-disease associations (VDAs), between 194,515 variants and 14,155 diseases, traits, and phenotypes. The data are homogeneously annotated with controlled vocabularies and community-driven ontologies. Additionally, several original metrics are provided to assist the prioritization of genotype-phenotype relationships. The information is accessible through a web interface, a Cytoscape App, an RDF SPARQL endpoint, a REST API, and an R package.",ready,knowledgebase,Spain,2009,"Innovative Medicines Initiative (IMI), Europe; Research Programme on Biomedical Informatics (IMIM, UPF); Innovative Medicines Initiative (IMI), Europe; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica; Spanish Instituto de Salud Carlos III Instituto Nacional de Bioinformatica",Research institute; Government body; Consortium,"Integrative Biomedical Informatics Group (IBI), Research Programme on Biomedical Informatics (GRIB) IMIM-UPF, Barcelona, Spain",Government body,Laura I. Furlong,laura.furlong@upf.edu,open,not applicable,10.1093/database/bav028; 10.1093/bioinformatics/btq538; 10.1371/journal.pone.0020284; 10.1093/nar/gkw943; 10.1093/nar/gkz1021
Disaster Lit,Disaster Lit,https://disasterinfo.nlm.nih.gov/disaster-lit,2937,"Disaster Lit: Database for Disaster Medicine and Public Health is the National Library of Medicine (NLM) database of links to disaster medicine and public health documents available on the Internet at no cost. Documents include expert guidelines, research reports, conference proceedings, training classes, fact sheets, websites, databases, and similar materials for a professional audience. NLM selects materials from over 1,400 non-commercial publishing sources and supplements disaster-related resources from PubMed (biomedical journal literature) and MedlinePlus (health information for the public).",deprecated,repository,United States,2002,,,"Disaster Information Management Research Center (DIMRC), Bethesda, MD, USA",Government body,General contact,dimrc@nlm.nih.gov,not found,not found,
Discovery VIRUS COVID-19 Registry,,https://www.sccm.org/research/discovery-research-network/discovery-research-collaboratives/virus-covid-19-registry,3250,"VIRUS is a cross-sectional, observational study and registry of all eligible adult and pediatric patients who are admitted to a hospital.",deprecated,repository,United States,2020,,,"Society of Critical Care Medicine (SCCM), Mount Prospect, IL, USA",Consortium,Vishakha Kumar,vkumar@sccm.org,controlled,controlled,10.1097/CCE.0000000000000113; 10.1097/CCM.0000000000004572
Dutch National COVID-19 clinical data dashboard,COVID-NL clinical data,https://covid19initiatives.health-ri.nl/p/Dashboard,4296,"The Dutch national COVID-19 clinical data dashboard allows exploration and reuse of clinical data from Dutch university medical centers (UMCs). The dashboard provides researchers with a clear overview of what is available, allow searching for specific data and make access to such data easier when the necessary ethical and legal conditions have been met.",ready,repository,Netherlands,2021,,,Health-RI,Charitable foundation,General Contact,info@health-ri.nl,controlled,not applicable,
Dutch National COVID-19 metadata portal,COVID-NL metadata,https://covid19initiatives.health-ri.nl/p/ProjectOverview,4737,"The Dutch national COVID-19 metadata portal describes the content of the collections and type of data. The underlying data remains at the source, but where possible a link to the data or the data request procedure are provided on the portal. The first health care data sets in the portal are coming from observational studies funded by ZonMw, NFU COVID-19 clinical research data, collaborating top clinical hospitals (STZ), as well as other regional hospitals. However, the portal is open to any health care provider wishing to make their COVID-19 data available for research. ",ready,repository,Netherlands,2021,"The Netherlands Organisation for Health Research and Development (ZonMw), The Hague, The Netherlands",Government body,Health-RI,Charitable foundation,General contact,info@health-ri.nl,partially open,open,
EMDataResource,,https://www.emdataresource.org,3015,"Three-dimensional Electron Microscopy (3DEM) has become a key experimental method in structural biology for a broad spectrum of biological specimens from molecules to cells. The EMDataResource project provides a unified portal for deposition, retrieval and analysis of 3DEM density maps, atomic models and associated metadata.",ready,knowledgebase_and_repository,"United Kingdom, United States",2007,National Institute of General Medical Sciences; National Institutes of Health,Government body,"Research Collaboratory for Structural Bioinformatics; National Center for Macromolecular Imaging, SLAC national accelerator laboratory; Electron Microscopy Data Bank Team, European Bioinformatics Institute",Research institute; Lab; Consortium,Catherine L. Lawson,cathy.lawson@rutgers.edu,open,open,10.1093/nar/gkv1126
EUI COVID-19 SSH Data Portal,,https://covid19data.eui.eu/,4485,"The EUI COVID-19 SSH Data Portal provides integrated search, discovery, and linking to datasets published on the web relevant for COVID-19-related research in the Social Sciences and Humanities. The COVID-19 SSH Data Portal is an initiative of the European University Institute.
FAIRsharing notes : This ressource appears to be insecure. As such, we have changed the statut to ""uncertain"". Please get in touch if you have any information.",uncertain,knowledgebase_and_repository,Italy,2022,European Union (EU),Government body,European University Institute,University,COVID-19 SSH Data Portal,covid-data@eui.eu,open,not applicable,
EVLncRNAs,EVLncRNAs,https://www.sdklab-biophysics-dzu.net/EVLncRNAs3/,5077,"Long noncoding RNAs (lncRNAs) have emerged as crucial regulators across diverse biological processes and diseases. While high-throughput sequencing has enabled lncRNA discovery, functional characterization remains limited. The EVLncRNAs database is the first and exclusive repository for all experimentally validated functional lncRNAs from various species. After previous releases in 2018 and 2021, this update marks a major expansion through exhaustive manual curation of nearly 25,000 publications from May 15, 2020, to May 15, 2023. It incorporates substantial growth across all categories: a 154% increase in functional lncRNAs, 160% in associated diseases, 186% in lncRNA-disease associations, 235% in interactions, 138% in structures, 234% in circular RNAs, 235% in resistant lncRNAs, and 4724% in exosomal lncRNAs. More importantly, it incorporated additional information include functional classifications, detailed interaction pathways, homologous lncRNAs, lncRNA locations, COVID-19, and phase-separation and organoid-related lncRNAs. The web interface was substantially improved for browsing, visualization, and searching. ChatGPT was tested for information extraction and functional overview with its limitation noted. EVLncRNAs 3.0 represents the most extensive curated resource of experimentally validated functional lncRNAs and will serve as an indispensable platform for unravelling emerging lncRNA functions. The updated database is freely available at https://www.sdklab-biophysics-dzu.net/EVLncRNAs3/.",ready,knowledgebase,China,2023,,,,,,,open,open,10.1093/nar/gkaa1076; 10.1093/nar/gkx677
Ensembl,,http://www.ensembl.org/,1867,"Ensembl creates, integrates and distributes reference datasets and analysis tools that enable genomics. Ensembl is a genome browser that supports research in comparative genomics, evolution, sequence variation and transcriptional regulation. Ensembl annotate genes, computes multiple alignments, predicts regulatory function and collects disease data.",ready,repository,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",1999,"European Commission FP7; The Wellcome Trust, UK",Government body; Charitable foundation,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK",Research institute,Help Desk,helpdesk@ensembl.org,open,open,10.1093/bioinformatics/btu613; 10.1186/s13059-016-0974-4; 10.1101/gr.137901.112; 10.1101/gr.1863004; 10.1101/gr.1857204; 10.1101/gr.135350.111; 10.1002/0471142905.hg0611s69; 10.1016/j.tig.2004.04.002; 10.1093/database/bar030; doi:10.1093/nar/gku1010; 10.1093/nar/gkj133; 10.1093/nar/gkt1196; 10.1093/database/bav119; 10.1093/database/baw093; 10.1186/1471-2164-11-295; 10.1093/bfgp/elm025; 10.1093/nar/gkq1064; 10.1093/nar/gkr991; 10.1093/nar/gks1236; 10.1093/database/bav127; 10.1093/database/baw053; 10.1101/gr.1866304; 10.1093/nar/gki138; 10.1101/gr.1862204; 10.1186/s13059-015-0621-5; 10.1093/bioinformatics/btt737; 10.1093/nar/gkw1104; 10.1038/ng0806-853a; 10.1093/nar/gkv1157; 10.1101/gr.076521.108; 10.1093/nar/gkm988; 10.1186/1471-2164-11-293; 10.1093/nar/gkg083; 10.1101/gr.073585.107; 10.1186/1471-2105-11-238; 10.1093/nar/30.1.38; 10.1093/nar/gkl996; 10.1093/bioinformatics/btq330; 10.1093/nar/gkn828; 10.1093/nar/gkp972; 10.1093/database/bav096; 10.1101/gr.1859804; 10.1101/gr.1858004; 10.1093/nar/gky1113; 10.1093/nar/gkz966; 10.1186/1471-2105-11-240; 10.1093/nar/gkab1049; 10.1093/nar/gkac958
Ensembl Genomes,Ensembl Genomes,https://ensemblgenomes.org/,2386,"The Ensembl genome annotation system, developed jointly by EMBL-EBI and the Wellcome Trust Sanger Institute, has been used for the annotation, analysis and display of vertebrate genomes since 2000. Since 2009, the Ensembl site has been complemented by the creation of five new sites, for bacteria, protists, fungi, plants and invertebrate metazoa, enabling users to use a single collection of (interactive and programatic) interfaces for accessing and comparing genome-scale data from species of scientific interest from across the taxonomy.",ready,repository,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2008,"European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Bill and Melinda Gates Foundation, Seattle, Washington, USA; National Science Foundation (NSF), USA; European Commission FP7; The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Cambridge, UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK; European Commission FP7; Biotechnology and Biological Sciences Research Council (BBSRC), UK; Biotechnology and Biological Sciences Research Council (BBSRC), UK",Research institute; Government body; Charitable foundation,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK",Research institute,Helpdesk,helpdesk@ensembl.org,open,not found,10.1093/nar/gkz890; 10.1093/nar/gkv1209
European Centre for Disease Prevention and Control,ECDC,https://www.ecdc.europa.eu/en,2950,"ECDC's main role as an agency of the European Union is to strengthen Europe’s defences against communicable diseases, worked together with all EU/EEA countries in response to public health threats and emerging diseases. Part of the ECDC mission is to provide search for, collect, collate, evaluate and disseminate relevant scientific and technical data.",ready,repository,European Union,2016,,,European Union (EU),Government body,Andrea Ammon,Andrea.Ammon@ecdc.eu.int,open,not found,
European Data Portal,EDP,https://www.europeandataportal.eu/en,2940,The European Data Portal harvests the metadata of Public Sector Information available on public data portals across European countries. Information regarding the provision of data and the benefits of re-using data is also included.,ready,repository,European Union,2014,European Union (EU),Government body,Publications Office of the European Union,Government body,,,open,controlled,
European Mouse Mutant Archive,EMMA,https://www.infrafrontier.eu/emma/,1935,"The European Mouse Mutant Archive – EMMA is the INFRAFRONTIER’s non-profit repository for the collection, archiving (via cryopreservation) and distribution of relevant mutant mouse and rat strains essential for basic biomedical research. The laboratory mouse is the most important mammalian model for studying genetic and multi-factorial diseases in human beings. The comprehensive physical and data resources of EMMA support basic biomedical and preclinical research, and the available research tools and mouse/rat models of human disease offer the opportunity to develop a better understanding of molecular disease mechanisms and may provide the foundation for the development of diagnostic, prognostic and therapeutic strategies. ",ready,repository,European Union,2009,BY-COVID (BeYond COVID) Project; European Joint Programme on Rare Diseases; European Commission Horizon 2020; European Commission Horizon 2020; EOSC-Life; European Commission FP7; European Commission Horizon 2020,Government body; Consortium,"INFRAFRONTIER Research Infrastructure, INFRAFRONTIER",Government body,General Enquiries,emma@infrafrontier.eu,partially open,controlled,10.1093/bfgp/elm018; 10.1093/nar/gkp799; 10.1007/s00335-016-9642-y; 10.1093/nar/gku1193; 10.1007/s00335-025-10174-4
European Renal Association COVID-19 Database,ERACODA,https://www.eracoda.org/,3315,The European Renal Association COVID-19 Database is a European database collecting clinical information of patients on kidney replacement therapy with COVID-19.,deprecated,repository,Netherlands,2021,"Dutch Kidney Foundation (Nierstichting), Bussum, Netherlands; European Renal Association (ERA-EDTA); Sandoz; Baxter",Company; Consortium; Charitable foundation,ERACODA Working Group; University Medical Center Groningen and Radboud University Medical Center Nijmegen,University; Consortium,General contact,COVID.19.KRT@umcg.nl,controlled,not applicable,10.1093/ckj/sfab027; 10.1093/ndt/gfaa314; 10.1093/ndt/gfaa261; 10.1093/ndt/gfaa179
Facebook Data for Good,,https://dataforgood.fb.com/,2941,"Through our Data for Good partnerships, Facebook works with many of the world's leading humanitarian organizations to help them act more quickly and reach more people during natural disasters and disease outbreaks data for disaster response, health, connectivity, energy access, and economic growth.",ready,knowledgebase,United States,2017,,,"Humanitarian OpenStreetMap Team (HOT); Internal Displacement Monitoring Centre (IDMC); NetHope, Fairfax, VA, United States; Facebook, Menlo Park, California, United State; Chapman University, Orange, CA, United States; Harvard T.H. Chan School of Public Health, Boston, MA, United States; Direct Relief, Santa Barbara, CA, United States; NAPSG Foundation, Washington, DC, United States",Research institute; University; Company; Charitable foundation,,press@fb.com,controlled,not applicable,
GHDDI Info Sharing Portal,,https://ghddi-ailab.github.io/Targeting2019-nCoV/,3017,"GHDDI Info Sharing Portal is the public information sharing portal and data repository for the drug discovery community, initiated by GHDDI. We are making our drug discovery capabilities and resources available at no cost to all researchers who are developing new treatments for COVID-19.",ready,repository,China,2020,,,"Global Health Drug Discovery Institute (GHDI), Beijing, China",Research institute,,,open,open,
GISAID EpiCoV™ Database,,https://db.cngb.org/gisaid/,2938,"China National GeneBank DataBase (CNGBdb) is an official partner of the GISAID Initiative. It provides access to EpiCoV and features the most complete collection of hCoV-19 genome sequences along with related clinical and epidemiological data. With the data from this database scientific researchers can construct a virus phylogenetic tree to reveal the characteristics of the pathogen, and provide effective references for the study and analysis of the evolutionary source and pathological mechanism of the novel coronavirus.",ready,repository,China,2020,,,"China National GeneBank, Shenzhen, China",Government body,General contact,CNGBdb@cngb.org,open,not found,
Genome Warehouse,GWH,https://ngdc.cncb.ac.cn/gwh,2905,"The Genome Warehouse (GWH) is a public archival resource housing genome-scale data for a wide range of species. GWH accepts full genomes of eukaryotes and prokaryotes as well as metagenomes. For each collected genome assembly, GWH incorporates descriptive information including biological sample metadata, genome assembly metadata, sequence data and genome annotation, and offers standardized quality control for genome sequence and annotation.",ready,repository,China,2016,,,"National Genomics Data Center (BIG Data Center), Beijing Institute of Genomics, Chinese Academy of Sciences, Bejing, China",Research institute,GWH curator,gwhcuration@big.ac.cn,open,open,10.1093/gpbjnl/qzaf010; 10.1016/j.gpb.2021.04.001
Genomics England | PanelApp,PanelApp,https://panelapp.genomicsengland.co.uk/,2275,"Genomics England PanelApp is a publically-available knowledgebase that allows virtual gene panels related to human disorders to be created, stored and queried. It includes a crowdsourcing tool that allows genes to be added or reviewed by experts throughout the worldwide scientific community, providing an opportunity for the standardisation of gene panels, and a consensus on which genes have sufficient evidence for disease association. The diagnostic grade ‘Green’ genes and their modes of inheritance in the Version 1+ PanelApp virtual gene panels are used to direct the variant tiering process for the interpretation of genomes in the 100,000 Genomes Project and for the National Health Service England Genomic Medicine Service. As panels in PanelApp are publically available, they can also be utilised by others. Experts are asked to register (https://panelapp.genomicsengland.co.uk/accounts/registration/) in order to review and rate the genes on the panel to indicate whether there is a diagnostic-grade level of evidence for the gene to be implicated in a given disease. Bioinformaticians can access the data via the PanelApp API (https://panelapp.genomicsengland.co.uk/#!API). More detailed background information, instructions and updates can be found on the PanelApp homepage tabs.",ready,repository,United Kingdom,2015,,,"Genomics England, London, UK",Company,PanelApp team,panelapp@genomicsengland.co.uk,open,open,10.1038/s41588-019-0528-2
Global Registry of COVID-19 in Pediatric Cancer,,https://global.stjude.org/en-us/global-covid-19-observatory-and-resource-center-for-childhood-cancer/registry.html,4068,"The Global COVID-19 Observatory and Resource Center for Childhood Cancer is for health care professionals focused on pediatric cancer. The resource provides a way for providers to collaborate, connect and find the latest information on COVID-19 as it relates to childhood cancer.  
",ready,repository,United States,2022,,,St. Jude Children's Research Hospital,Research institute,,,controlled,open,
Global.health,,https://global.health/,4387,"Global.health is the first of its kind, easy-to-use global repository and visualization platform that enables open access to real-time de-identified epidemiological line-list case data. Data about Covid-19, ebola and Monkeypox are available.",ready,repository,"South Africa, United Kingdom, United States",2020,"Google (United States); Oxford Martin School; Rockefeller Foundation, New-York, NY, USA",Research institute; Company; Charitable foundation,,,,,controlled,controlled,
HIV and COVID-19 Registry in Europe,,https://www.neat-id.org/,3280,"In March the NEAT ID Foundation initiated the development of a simple Data “Dashboard” to monitor the progress of COVID-19 in HIV infected patients across Europe in real time. The Dashboard shows at European and Country level the number of cases reported to NEAT ID with COVID-19 co-infection with HIV, the number of hospitalisations and the number of deaths (from sites who have contributed to date).",deprecated,repository,European Union,2020,,,"NEAT ID Foundation, London, UK",Charitable foundation,General contact,NEAT-ID@NEAT-ID.org,not found,not found,
Health Data Research Innovation Gateway,Innovation Gateway,https://healthdatagateway.org,3296,"The Health Data Research Innovation Gateway (the ‘Gateway’) provides a common entry point to discover and enquire about access to UK health datasets for research and innovation. It provides detailed information about the datasets, which are held by members of the UK Health Data Research Alliance, such as a description, size of the population, and the legal basis for access. The Gateway includes the ability to search for research projects, publications and health data tools, such as those related to COVID-19. New interactive features provide a community forum for researchers to collaborate and connect and the ability to add research projects. The Innovation Gateway does not hold or store any datasets or patient or health data but rather acts as a portal to allow discovery of datasets and to request access to them for health research. A dataset is a collection of related individual pieces of data but in the case of health data, identifiable information (e.g. name or NHS number) is removed and data is de-identified where possible. When you access the Gateway you will not be able to view or extract the data itself. Instead, you will be able to see information that describes what the different datasets are (e.g. where the dataset has come from, a description of the dataset, the time period and the geographical areas the dataset covers). In order to access the data, you will need to sign in and then follow the access request process. Only once your request has been through the process to ensure your application meets all of the requirements and is approved by the data controller will you be able to access the data. Your access to the data will be provided outside of the Gateway in line with the processes of the data controller - read through our FAQs for more information on the process. The datasets that are discoverable through the Innovation Gateway are from organisations in the NHS, research institutes and charities, which are part of the UK Health Data Research Alliance. You can find out more about its members on the UK Health Data Research Alliance website. The information provided about the datasets has been provided by the relevant data controller and is continually updated.",ready,knowledgebase,United Kingdom,2020,,,Health Data Research UK,Company,Susheel Varma,susheel.varma@hdruk.ac.uk,controlled,not applicable,
Humanitarian Data Exchange,HDX,https://data.humdata.org/,2942,The Humanitarian Data Exchange (HDX) is an open platform for sharing data across crises and organisations. HDX was created to make humanitarian data easy to find and use for analysis.,ready,repository,Worldwide,2014,,,"Humanitarian Exchange Language (HXL); Centre for Humanitarian Data, United Nations Office for the Coordination of Humanitarian Affairs (OCHA)",Research institute; Consortium,General contact,hdx@un.org,open,open,
IUPHAR/BPS Guide to PHARMACOLOGY,Guide to Pharmacology,https://www.guidetopharmacology.org,1933,"The information in the database is presented at two levels: the initial view or landing pages for each target family provide expert-curated overviews of the key properties and selective ligands and tool compounds available. For selected targets more detailed introductory chapters for each family are available along with curated information on the pharmacological, physiological, structural, genetic and pathophysiogical properties of each target. Recent extensions to the database provide specific portals for accessing data on immunopharmacology (IUPHAR Guide to IMMUNOPHARMACOLOGY; www.guidetoimmunopharmacology.org), and on malaria pharmacology (IUPHAR/MMV Guide to MALARIA PHARMACOLOGY; www.guidetomalariapharmacology.org). The database is enhanced with hyperlinks to additional information in other databases including Ensembl, UniProt, PubChem and ChEMBL, as well as curated chemical information and literature citations in PubMed.",ready,knowledgebase,United Kingdom,2011,"British Pharmacological Society; The Wellcome Trust, UK",Charitable foundation,International Union of Basic and Clinical Pharmacology,Consortium,Jamie Davies; Simon Harding,jamie.davies@ed.ac.uk; simon.harding@igmm.ed.ac.uk,open,not applicable,10.1093/nar/gkv1037; 10.1093/nar/gkz951; 10.1093/nar/gkt1143; 10.1093/nar/gkx1121; 10.1093/nar/gkab1010
Image Data Resource ,IDR,https://idr.openmicroscopy.org,2303,"The Image Data Resource (IDR) is a public repository of image datasets from published scientific studies, where the community can submit, search and access high-quality bio-image data. It follows the Euro-BioImaging/ELIXIR imaging strategy using the OMERO and Bio-Formats open source software built by the Open Microscopy Environment. Deployed on an OpenStack cloud running on the EMBL-EBI’s Embassy resource, it includes image data linked to independent studies from genetic, RNAi, chemical, localisation and geographic high content screens, super-resolution microscopy, and digital pathology.",ready,repository,United Kingdom,2015,European Commission Horizon 2020; Biotechnology and Biological Sciences Research Council; EOSC-Life; European Commission Horizon 2020; The Wellcome Trust; Biotechnology and Biological Sciences Research Council,Government body; Consortium; Charitable foundation,"Open Microscopy Environment; University of Dundee, Scotland, UK; Cambridge Systems Biology Centre, University of Cambridge, Cambridge, UK; European Commission FP7",Lab; University; Government body,Josh Moore; Sébastien Besson; General Contact,j.a.moore@dundee.ac.uk; s.besson@dundee.ac.uk; idr@openmicroscopy.org,open,open,10.1038/nmeth.4326
Immunology Database and Analysis Portal,ImmPort,https://immport.org,2186,"The Immunology Database and Analysis Portal (ImmPort) data repository was created for the exploration of clinical and basic research data on immunology and associated findings. ImmPort intends to promote effective data sharing across the basic, clinical and translational research communities. It collects data both from clinical and mechanistic studies on human subjects and from immunology studies on model organisms. The ImmPort ecosystem consists of four components: private data, shared data, data analysis, and resources-for data archiving, dissemination, analyses, and reuse.",ready,repository,United States,2007,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",Government body,"University of California, Los Angeles, CA; Northrop Grumman Health IT; National Institutes of Health (NIH), National Institute of Allergy and Infectious Diseases (NIAID), Division of Allergy, Immunology, and Transplantation (DAIT)",Government body; University; Company,Jeff Wiser,jeff.wiser@ngc.com,partially open,controlled,10.1007/s12026-014-8516-1; 10.1002/cyto.a.22037; 10.1002/cyto.b.20554; 10.1038/sdata.2018.15
Infectious Diseases Data Observatory,IDDO,https://www.iddo.org/,2968,"The Infectious Diseases Data Observatory (IDDO) assembles clinical, laboratory and epidemiological data on a collaborative platform to be shared with the research and humanitarian communities. The data are analysed to generate reliable evidence and innovative resources that enable research-driven responses to the major challenges of emerging and neglected infections. Data is organized into research themes, with both submitters storing and requesters asking for data via the central IDDO platform. Certain data (listed in data inventories or available via various portals) is available publicly, while the rest must be applied and permission received for.",ready,repository,United Kingdom,2016,"Bill and Melinda Gates Foundation, Seattle, Washington, USA",Charitable foundation,"WorldWide Antimalarial Resistance Network; Infectious Diseases Data Observatory (IDDO), Oxford, UK; Centre for Tropical Medicine and Global Health, Oxford, UK",Research institute,Professor Philippe Guérin,info@iddo.org,controlled,open,
IntAct molecular interaction database,IntAct,https://www.ebi.ac.uk/intact/home,1599,"IntAct provides a freely available, open source database system and analysis tools for protein interaction data. All interactions are derived from literature curation or direct user submissions and are freely available.",ready,knowledgebase_and_repository,"Austria, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Portugal, Slovakia, Spain, Sweden, Switzerland, United Kingdom",2003,"National Institute of General Medical Sciences (NIGMS), Bethesda, MD, USA; Biotechnology and Biological Sciences Research Council (BBSRC), UK; National Center for Research Resources (NCRR), National Institutes of Health, Bethesda, MD, USA",Government body,"European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridgeshire, UK; Swiss Institute of Bioinformatics (SIB), Switzerland",Research institute,Sandra Orchard,orchard@ebi.ac.uk,open,open,10.1093/nar/gkh052; 10.1093/nar/gkp878; 10.1186/1741-7007-5-44; 10.1038/nmeth.1637; 10.1093/nar/gkt1115
Integrated Resource for Reproducibility in Macromolecular Crystallography,IRRMC,https://proteindiffraction.org,2554,"The Integrated Resource for Reproducibility in Macromolecular Crystallography (IRRMC) was created to make the raw data of protein crystallography more widely available. The IRRMC identifies, catalogs and provides metadata related to datasets that could be used to reprocess the original diffraction data. The intent of this project is to make the resulting three-dimensional structures more reproducible and easier to modify and improve as processing methods advance.",ready,repository,United States,2015,"National Institutes of Health (NIH), Bethesda, MD, USA",Government body,"Minor Lab at the University of Virginia, USA",Lab,Wladek Minor Lab,support@protein.diffraction.org,open,open,10.1063/1.5128672; 10.1107/S2059798316014716
